,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
343,Rock Sound,24.9,-76.2,83.64,76,0,22.86,BS,1596169203
344,Agüimes,27.91,-15.45,71.6,73,75,17.22,ES,1596169204
345,Antalaha,-14.9,50.28,67.87,80,1,6.35,MG,1596169024
346,Zacatepec,18.65,-99.2,73.0,82,85,1.86,MX,1596169204
347,Chirongui,-12.93,45.15,77.0,78,75,21.92,YT,1596169204
348,Kuminskiy,58.67,66.57,55.22,96,100,6.73,RU,1596169204
349,Olafsvik,64.89,-23.71,50.74,79,100,11.14,IS,1596169205
350,Filingué,14.35,3.32,88.29,48,80,5.14,NE,1596169205
351,Aklavik,68.22,-135.01,73.4,53,75,3.36,CA,1596169205
352,Bonavista,48.65,-53.11,55.0,75,99,5.82,CA,1596169205
353,Penzance,50.12,-5.54,62.01,93,0,14.99,GB,1596169205
354,Rincon,32.3,-81.24,80.6,78,75,9.17,US,1596169206
355,Ushtobe,45.25,77.98,80.46,23,77,21.61,KZ,1596169206
356,Zhigansk,66.77,123.37,64.74,51,0,9.57,RU,1596169206
357,Calama,-22.47,-68.93,42.8,3,0,19.46,CL,1596169206
358,Praia da Vitória,38.73,-27.07,69.8,83,75,11.81,PT,1596169207
359,Kahului,20.89,-156.47,84.2,51,20,20.8,US,1596169207
360,Nova Olímpia,-14.8,-57.29,67.68,60,3,2.51,BR,1596169207
361,Llangefni,53.26,-4.31,68.0,52,0,6.93,GB,1596169207
362,Tarrafal,15.28,-23.77,78.8,69,20,4.7,CV,1596169207
363,Maniitsoq,65.42,-52.9,45.34,88,91,10.94,GL,1596169208
364,Ola,59.58,151.28,57.31,65,100,4.16,RU,1596169208
365,Dalby,-27.18,151.27,68.0,37,0,6.93,AU,1596169208
366,San Quintín,30.48,-115.95,68.54,81,0,8.84,MX,1596169208
367,Oistins,13.07,-59.53,80.6,83,75,5.82,BB,1596169208
368,Namatanai,-3.67,152.43,84.72,72,100,9.82,PG,1596169209
369,Celestún,20.87,-90.4,82.27,80,7,15.55,MX,1596169209
370,Buchanan,5.88,-10.05,74.68,89,82,4.23,LR,1596169209
371,Labuan,5.28,115.24,86.0,74,20,5.82,MY,1596169209
